latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
20.66107,86.13263,335.28,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.55,2.95,D
20.01321,82.08792,331.86,0.49,0.4,2026-01-26,0735,N,VIIRS,l,2.0NRT,303.85,4.66,D
20.0124,82.08324,344.73,0.49,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,306.13,8.68,D
20.75512,86.65112,333.92,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.89,6.29,D
20.0147,82.08537,351.94,0.49,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,307.3,7.6,D
20.01387,82.0807,332.71,0.49,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,301.71,7.6,D
19.14454,77.44172,349.7,0.32,0.55,2026-01-26,0735,N,VIIRS,n,2.0NRT,299.13,2.95,D
20.82838,86.96495,334.99,0.39,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,307.36,3.35,D
20.09304,82.33517,332.77,0.48,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,303.48,3.57,D
20.02406,81.87883,332.71,0.5,0.41,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.17,3.03,D
20.72772,86.148,333.04,0.38,0.36,2026-01-26,0735,N,VIIRS,n,2.0NRT,302.95,3.42,D
20.13007,82.37489,332.79,0.47,0.4,2026-01-26,0735,N,VIIRS,n,2.0NRT,300.84,6.97,D
18.35166,73.33403,338.72,0.61,0.71,2026-01-26,0735,N,VIIRS,n,2.0NRT,294.33,7.26,D
18.35037,73.32832,339.24,0.61,0.71,2026-01-26,0735,N,VIIRS,n,2.0NRT,293.79,7.26,D
18.35809,73.33231,367,0.61,0.71,2026-01-26,0735,N,VIIRS,h,2.0NRT,292.63,10.63,D
18.3568,73.32655,345.32,0.61,0.71,2026-01-26,0735,N,VIIRS,n,2.0NRT,287.52,10.63,D
20.2092,82.57179,349.5,0.46,0.39,2026-01-26,0735,N,VIIRS,n,2.0NRT,308.18,9.82,D
